F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_18_519.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_18_519.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_18_519.jpg,0,0,0,8.963308E-07
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_18_586.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_18_586.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_18_586.jpg,0,0,0,7.49247E-06
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_18_655.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_18_655.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_18_655.jpg,0,0,0,1.349283E-06
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_18_722.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_18_722.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_18_722.jpg,0,0,0,5.052538E-06
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_18_789.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_18_789.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_18_789.jpg,0,0,0,5.620279E-06
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_18_857.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_18_857.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_18_857.jpg,0,0,0,1.36586E-06
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_18_925.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_18_925.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_18_925.jpg,0,0,0,3.13506E-06
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_18_993.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_18_993.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_18_993.jpg,0,0,0,2.208186E-05
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_19_060.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_19_060.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_19_060.jpg,0,0,0,2.219298E-06
F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\center_2017_07_16_11_34_19_127.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\left_2017_07_16_11_34_19_127.jpg,F:\virtualenvs\Udacity\SelfDrivingCar_NanoDegree\BehavioralCloning\IMG\right_2017_07_16_11_34_19_127.jpg,0,0,0,4.756116E-06
